Utah Valley University, Orem
Bringham Young University, Provo
The University of Utah, Salt Lake City
Harvard University, Cambridge
Princeton University, Princeton
Snow College, Ephraim
Duke University, Durham
Rice University, Houston
Brown University, Providence
Yale University, New Haven
Vanderbilt University, Nashville
Tulane University, New Orleans
